name,version,license,repo
cups-libs,2.2.6-53.el8.x86_64,"LGPLv2 and zlib",@baseos
curl,7.61.1-33.el8.x86_64,"MIT",@baseos
cyrus-sasl,2.1.27-6.el8_5.x86_64,"BSD with advertising",@anaconda
cyrus-sasl-gssapi,2.1.27-6.el8_5.x86_64,"BSD with advertising",@anaconda
cyrus-sasl-lib,2.1.27-6.el8_5.x86_64,"BSD with advertising",@anaconda
cyrus-sasl-plain,2.1.27-6.el8_5.x86_64,"BSD with advertising",@anaconda
dbus,1.12.8-26.el8.x86_64,"(GPLv2+ or AFL) and GPLv2+",@baseos
dbus-common,1.12.8-26.el8.noarch,"(GPLv2+ or AFL) and GPLv2+",@baseos
dbus-daemon,1.12.8-26.el8.x86_64,"(GPLv2+ or AFL) and GPLv2+",@baseos
dbus-glib,0.110-2.el8.x86_64,"AFL and GPLv2+",@anaconda
dbus-libs,1.12.8-26.el8.x86_64,"(GPLv2+ or AFL) and GPLv2+",@baseos
dbus-tools,1.12.8-26.el8.x86_64,"(GPLv2+ or AFL) and GPLv2+",@baseos
dejavu-fonts-common,2.35-7.el8.noarch,"Bitstream Vera and Public Domain",@anaconda
dejavu-sans-mono-fonts,2.35-7.el8.noarch,"Bitstream Vera and Public Domain",@anaconda
device-mapper,1.02.181-9.el8.x86_64,"GPLv2",@anaconda
device-mapper-event,1.02.181-9.el8.x86_64,"GPLv2",@anaconda
device-mapper-event-libs,1.02.181-9.el8.x86_64,"LGPLv2",@anaconda
device-mapper-libs,1.02.181-9.el8.x86_64,"LGPLv2",@anaconda
device-mapper-persistent-data,0.9.0-7.el8.x86_64,"GPLv3+",@anaconda
dhcp-client,4.3.6-49.el8.x86_64,"ISC",@anaconda
dhcp-common,4.3.6-49.el8.noarch,"ISC",@anaconda
dhcp-libs,4.3.6-49.el8.x86_64,"ISC",@anaconda
diffutils,3.6-6.el8.x86_64,"GPLv3+",@anaconda
dmidecode,3.3-4.el8.x86_64,"GPLv2+",@anaconda
dnf,4.7.0-19.el8.noarch,"GPLv2+",@baseos
dnf-data,4.7.0-19.el8.noarch,"GPLv2+",@baseos
dnf-plugins-core,4.0.21-23.el8.noarch,"GPLv2+",@baseos
dnsmasq,2.79-31.el8.x86_64,"GPLv2 or GPLv3",@appstream
dracut,049-228.git20230802.el8.x86_64,"GPLv2+ and LGPLv2+",@baseos
dracut-config-rescue,049-228.git20230802.el8.x86_64,"GPLv2+ and LGPLv2+",@baseos
dracut-network,049-228.git20230802.el8.x86_64,"GPLv2+ and LGPLv2+",@baseos
dracut-squash,049-228.git20230802.el8.x86_64,"GPLv2+ and LGPLv2+",@baseos
drpm,0.4.1-3.el8.x86_64,"LGPLv2+ and BSD",@appstream
e2fsprogs,1.45.6-5.el8.x86_64,"GPLv2",@anaconda
