name,version,license,repo
libsmbclient,4.18.6-1.el8.x86_64,"GPL-3.0-or-later AND LGPL-3.0-or-later",@baseos
libsodium,1.0.18-2.el8.x86_64,"ISC",@epel
libsodium-devel,1.0.18-2.el8.x86_64,"ISC",@epel
libsolv,0.7.20-6.el8.x86_64,"BSD",@baseos
libsoup,2.62.3-4.el8.x86_64,"LGPLv2",@baseos
libss,1.45.6-5.el8.x86_64,"MIT",@anaconda
libssh,0.9.6-6.el8.x86_64,"LGPLv2+",@anaconda
libssh-config,0.9.6-6.el8.noarch,"LGPLv2+",@anaconda
libssh2,1.10.0-1.el8.x86_64,"BSD",@epel
libsss_autofs,2.9.1-2.el8.x86_64,"LGPLv3+",@baseos
libsss_certmap,2.9.1-2.el8.x86_64,"LGPLv3+",@baseos
libsss_idmap,2.9.1-2.el8.x86_64,"LGPLv3+",@baseos
libsss_nss_idmap,2.9.1-2.el8.x86_64,"LGPLv3+",@baseos
libsss_sudo,2.9.1-2.el8.x86_64,"LGPLv3+",@baseos
libstdc++,8.5.0-20.el8.x86_64,"GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD",@baseos
libstemmer,0-10.585svn.el8.x86_64,"BSD",@anaconda
libsysfs,2.1.0-25.el8.x86_64,"LGPLv2+",@anaconda
libtalloc,2.4.0-3.el8.x86_64,"LGPL-3.0-or-later",@baseos
libtasn1,4.13-4.el8.x86_64,"GPLv3+ and LGPLv2+",@anaconda
libtdb,1.4.8-3.el8.x86_64,"LGPL-3.0-or-later",@baseos
libteam,1.31-4.el8.x86_64,"LGPLv2+",@anaconda
libtevent,0.14.1-3.el8.x86_64,"LGPL-3.0-or-later",@baseos
libthai,0.1.27-2.el8.x86_64,"LGPLv2+",@appstream
libtiff,4.0.9-28.el8.x86_64,"libtiff",@appstream
libtirpc,1.1.4-8.el8.x86_64,"SISSL and BSD",@anaconda
libtool-ltdl,2.4.6-25.el8.x86_64,"LGPLv2+",@anaconda
libunistring,0.9.9-3.el8.x86_64,"GPLv2+ or LGPLv3+",@anaconda
libusbx,1.0.23-4.el8.x86_64,"LGPLv2+",@anaconda
libuser,0.62-25.el8.x86_64,"LGPLv2+",@anaconda
libutempter,1.1.6-14.el8.x86_64,"LGPLv2+",@anaconda
libuuid,2.32.1-43.el8.x86_64,"BSD",@baseos
libverto,0.3.2-2.el8.x86_64,"MIT",@anaconda
libverto-libev,0.3.2-2.el8.x86_64,"MIT",@appstream
libwbclient,4.18.6-1.el8.x86_64,"GPL-3.0-or-later AND LGPL-3.0-or-later",@baseos
libxcb,1.13.1-1.el8.x86_64,"MIT",@appstream
libxcrypt,4.1.1-6.el8.x86_64,"LGPLv2+ and BSD and Public Domain",@anaconda
libxkbcommon,0.9.1-1.el8.x86_64,"MIT",@appstream
libxml2,2.9.7-16.el8.x86_64,"MIT",@anaconda
libxslt,1.1.32-6.el8.x86_64,"MIT",@anaconda
libyaml,0.1.7-5.el8.x86_64,"MIT",@anaconda
libzstd,1.4.4-1.el8.x86_64,"BSD and GPLv2",@anaconda
lksctp-tools,1.0.18-3.el8.x86_64,"GPLv2 and GPLv2+ and LGPLv2 and MIT",@anaconda
lm_sensors-libs,3.4.0-23.20180522git70f7e08.el8.x86_64,"LGPLv2+",@anaconda
lmdb-libs,0.9.24-2.el8.x86_64,"OpenLDAP",@anaconda
logrotate,3.14.0-6.el8.x86_64,"GPLv2+",@anaconda
lshw,B.02.19.2-6.el8.x86_64,"GPLv2",@anaconda
lsof,4.93.2-1.el8.x86_64,"zlib and Sendmail and LGPLv2+",@anaconda
lsscsi,0.32-3.el8.x86_64,"GPLv2+",@anaconda
lua,5.3.4-12.el8.x86_64,"MIT",@appstream
lua-libs,5.3.4-12.el8.x86_64,"MIT",@anaconda
lvm2,2.03.14-9.el8.x86_64,"GPLv2",@anaconda
lvm2-libs,2.03.14-9.el8.x86_64,"LGPLv2",@anaconda
lz4-libs,1.8.3-3.el8_4.x86_64,"GPLv2+ and BSD",@anaconda
lzo,2.08-14.el8.x86_64,"GPLv2+",@anaconda
mailcap,2.1.48-3.el8.noarch,"Public Domain and MIT",@anaconda
man-db,2.7.6.1-18.el8.x86_64,"GPLv2+ and GPLv3+",@anaconda
manageiq-ansible-venv,16.1.0-1.el8.x86_64,"Apache-2.0",@manageiq-16-petrosian
manageiq-appliance,16.1.0-1.el8.x86_64,"Apache-2.0",@manageiq-16-petrosian
manageiq-appliance-tools,16.1.0-1.el8.x86_64,"Apache-2.0",@manageiq-16-petrosian
manageiq-core,16.1.0-1.el8.x86_64,"Apache-2.0",@manageiq-16-petrosian
manageiq-core-services,16.1.0-1.el8.x86_64,"Apache-2.0",@manageiq-16-petrosian
manageiq-gemset,16.1.0-1.el8.x86_64,"Apache-2.0",@manageiq-16-petrosian
manageiq-gemset-services,16.1.0-1.el8.x86_64,"Apache-2.0",@manageiq-16-petrosian
manageiq-release,16.0-1.el8.noarch,"Apache-2.0",@manageiq-16-petrosian-noarch
manageiq-system,16.1.0-1.el8.x86_64,"Apache-2.0",@manageiq-16-petrosian
manageiq-ui,16.1.0-1.el8.x86_64,"Apache-2.0",@manageiq-16-petrosian
mariadb-connector-c,3.1.11-2.el8_3.x86_64,"LGPLv2+",@appstream
mariadb-connector-c-config,3.1.11-2.el8_3.noarch,"LGPLv2+",@appstream
mcelog,194-1.el8.x86_64,"GPLv2",@baseos
memcached,1.5.22-2.el8.x86_64,"BSD",@appstream
memstrack,0.2.5-2.el8.x86_64,"GPLv3",@baseos
microcode_ctl,20230808-2.el8.x86_64,"CC0 and Redistributable, no modification permitted",@baseos
mod_auth_gssapi,1.6.1-9.el8.x86_64,"MIT",@appstream
mod_auth_mellon,0.14.0-12.el8.1.x86_64,"GPLv2+",@appstream
mod_auth_openidc,2.4.9.4-5.module_el8+319+bd773fd7.x86_64,"ASL 2.0",@appstream
mod_authnz_pam,1.1.0-7.el8.x86_64,"ASL 2.0",@appstream
mod_http2,1.15.7-8.module_el8+452+6213a5e6.3.x86_64,"ASL 2.0",@appstream
mod_intercept_form_submit,1.1.0-5.el8.x86_64,"ASL 2.0",@appstream
mod_lookup_identity,1.0.0-4.el8.x86_64,"ASL 2.0",@appstream
mod_ssl,2.4.37-62.module_el8+657+88b2113f.x86_64,"ASL 2.0",@appstream
mozjs60,60.9.0-4.el8.x86_64,"MPLv2.0 and MPLv1.1 and BSD and GPLv2+ and GPLv3+ and LGPLv2+ and AFL and ASL 2.0",@anaconda
mpfr,3.1.6-1.el8.x86_64,"LGPLv3+ and GPLv3+ and GFDL",@anaconda
nano,2.9.8-1.el8.x86_64,"GPLv3+",@anaconda
ncurses,6.1-10.20180224.el8.x86_64,"MIT",@baseos
ncurses-base,6.1-10.20180224.el8.noarch,"MIT",@baseos
ncurses-libs,6.1-10.20180224.el8.x86_64,"MIT",@baseos
net-snmp,5.8-28.el8.x86_64,"BSD",@appstream
net-snmp-agent-libs,5.8-28.el8.x86_64,"BSD",@appstream
net-snmp-libs,5.8-28.el8.x86_64,"BSD",@baseos
net-snmp-utils,5.8-28.el8.x86_64,"BSD",@appstream
net-tools,2.0-0.52.20160912git.el8.x86_64,"GPLv2+",@anaconda
nettle,3.4.1-7.el8.x86_64,"LGPLv3+ or GPLv2+",@anaconda
network-scripts,10.00.18-1.el8.x86_64,"GPLv2",@anaconda
network-scripts-team,1.31-4.el8.x86_64,"LGPLv2+",@anaconda
newt,0.52.20-11.el8.x86_64,"LGPLv2",@anaconda
nfs-utils,2.3.3-59.el8.x86_64,"MIT and GPLv2 and GPLv2+ and BSD",@anaconda
nftables,1.0.4-2.el8.x86_64,"GPLv2",@baseos
nmap-ncat,7.92-1.el8.x86_64,"Nmap",@appstream
npth,1.5-4.el8.x86_64,"LGPLv2+",@anaconda
nspr,4.35.0-1.el8.x86_64,"MPLv2.0",@appstream
nss,3.90.0-3.el8.x86_64,"MPLv2.0",@appstream
nss-softokn,3.90.0-3.el8.x86_64,"MPLv2.0",@appstream
nss-softokn-freebl,3.90.0-3.el8.x86_64,"MPLv2.0",@appstream
nss-sysinit,3.90.0-3.el8.x86_64,"MPLv2.0",@appstream
nss-tools,3.90.0-3.el8.x86_64,"MPLv2.0",@appstream
nss-util,3.90.0-3.el8.x86_64,"MPLv2.0",@appstream
numactl-libs,2.0.12-13.el8.x86_64,"LGPLv2 and GPLv2",@anaconda
oddjob,0.34.7-3.el8.x86_64,"BSD",@appstream
oddjob-mkhomedir,0.34.7-3.el8.x86_64,"BSD",@appstream
oniguruma,6.8.2-2.el8.x86_64,"BSD",@appstream
openldap,2.4.46-18.el8.x86_64,"OpenLDAP",@anaconda
openldap-clients,2.4.46-18.el8.x86_64,"OpenLDAP",@anaconda
openscap,1.3.8-1.el8.x86_64,"LGPLv2+",@appstream
openscap-scanner,1.3.8-1.el8.x86_64,"LGPLv2+",@appstream
openssh,8.0p1-19.el8.x86_64,"BSD",@baseos
openssh-clients,8.0p1-19.el8.x86_64,"BSD",@baseos
openssh-server,8.0p1-19.el8.x86_64,"BSD",@baseos
openssl,1.1.1k-9.el8.x86_64,"OpenSSL and ASL 2.0",@anaconda
openssl-libs,1.1.1k-9.el8.x86_64,"OpenSSL and ASL 2.0",@anaconda
openssl-pkcs11,0.4.10-3.el8.x86_64,"LGPLv2+ and BSD",@anaconda
os-prober,1.74-9.el8.x86_64,"GPLv2+ and GPL+",@anaconda
p11-kit,0.23.22-1.el8.x86_64,"BSD",@anaconda
p11-kit-trust,0.23.22-1.el8.x86_64,"BSD",@anaconda
pam,1.3.1-27.el8.x86_64,"BSD and GPLv2+",@baseos
pango,1.42.4-8.el8.x86_64,"LGPLv2+",@appstream
parted,3.2-39.el8.x86_64,"GPLv3+",@anaconda
passwd,0.80-4.el8.x86_64,"BSD or GPL+",@anaconda
pciutils,3.7.0-3.el8.x86_64,"GPLv2+",@anaconda
pciutils-libs,3.7.0-3.el8.x86_64,"GPLv2+",@anaconda
pcre,8.42-6.el8.x86_64,"BSD",@anaconda
pcre2,10.32-3.el8.x86_64,"BSD",@anaconda
perl-Carp,1.42-396.el8.noarch,"GPL+ or Artistic",@anaconda
perl-Data-Dumper,2.167-399.el8.x86_64,"GPL+ or Artistic",@anaconda
perl-Digest,1.17-395.el8.noarch,"GPL+ or Artistic",@baseos
perl-Digest-MD5,2.55-396.el8.x86_64,"(GPL+ or Artistic) and BSD",@baseos
perl-Encode,2.97-3.el8.x86_64,"(GPL+ or Artistic) and Artistic 2.0 and UCD",@anaconda
perl-Errno,1.28-422.el8.x86_64,"GPL+ or Artistic",@anaconda
perl-Error,0.17025-2.el8.noarch,"(GPL+ or Artistic) and MIT",@appstream
perl-Exporter,5.72-396.el8.noarch,"GPL+ or Artistic",@anaconda
perl-File-Path,2.15-2.el8.noarch,"GPL+ or Artistic",@anaconda
perl-File-Temp,0.230.600-1.el8.noarch,"GPL+ or Artistic",@anaconda
perl-Getopt-Long,2.50-4.el8.noarch,"GPLv2+ or Artistic",@anaconda
perl-Git,2.39.3-1.el8.noarch,"GPLv2",@appstream
perl-HTTP-Tiny,0.074-2.el8.noarch,"GPL+ or Artistic",@baseos
perl-IO,1.38-422.el8.x86_64,"GPL+ or Artistic",@anaconda
perl-IO-Socket-IP,0.39-5.el8.noarch,"GPL+ or Artistic",@baseos
perl-IO-Socket-SSL,2.066-4.module_el8+339+1ec643e0.noarch,"(GPL+ or Artistic) and MPLv2.0",@appstream
perl-MIME-Base64,3.15-396.el8.x86_64,"(GPL+ or Artistic) and MIT",@anaconda
perl-Mozilla-CA,20160104-7.module_el8+645+9d809f8c.noarch,"MPLv2.0",@appstream
perl-Net-SSLeay,1.88-2.module_el8+339+1ec643e0.x86_64,"Artistic 2.0",@appstream
perl-PathTools,3.74-1.el8.x86_64,"(GPL+ or Artistic) and BSD",@anaconda
perl-Pod-Escapes,1.07-395.el8.noarch,"GPL+ or Artistic",@anaconda
perl-Pod-Perldoc,3.28-396.el8.noarch,"GPL+ or Artistic",@anaconda
perl-Pod-Simple,3.35-395.el8.noarch,"GPL+ or Artistic",@anaconda
perl-Pod-Usage,1.69-395.el8.noarch,"GPL+ or Artistic",@anaconda
perl-Scalar-List-Utils,1.49-2.el8.x86_64,"GPL+ or Artistic",@anaconda
perl-Socket,2.027-3.el8.x86_64,"GPL+ or Artistic",@anaconda
perl-Storable,3.11-3.el8.x86_64,"GPL+ or Artistic",@anaconda
perl-Term-ANSIColor,4.06-396.el8.noarch,"GPL+ or Artistic",@anaconda
perl-Term-Cap,1.17-395.el8.noarch,"GPL+ or Artistic",@anaconda
perl-TermReadKey,2.37-7.el8.x86_64,"(Copyright only) and (Artistic or GPL+)",@appstream
perl-Text-ParseWords,3.30-395.el8.noarch,"GPL+ or Artistic",@anaconda
perl-Text-Tabs+Wrap,2013.0523-395.el8.noarch,"TTWL",@anaconda
perl-Time-Local,1.280-1.el8.noarch,"GPL+ or Artistic",@anaconda
perl-URI,1.73-3.el8.noarch,"GPL+ or Artistic",@baseos
perl-Unicode-Normalize,1.25-396.el8.x86_64,"GPL+ or Artistic",@anaconda
perl-constant,1.33-396.el8.noarch,"GPL+ or Artistic",@anaconda
perl-interpreter,5.26.3-422.el8.x86_64,"(GPL+ or Artistic) and (GPLv2+ or Artistic) and BSD and Public Domain and UCD",@anaconda
perl-libnet,3.11-3.el8.noarch,"GPL+ or Artistic",@baseos
perl-libs,5.26.3-422.el8.x86_64,"(GPL+ or Artistic) and HSRL and MIT and UCD",@anaconda
perl-macros,5.26.3-422.el8.x86_64,"GPL+ or Artistic",@anaconda
perl-parent,0.237-1.el8.noarch,"GPL+ or Artistic",@anaconda
perl-podlators,4.11-1.el8.noarch,"(GPL+ or Artistic) and FSFAP",@anaconda
perl-threads,2.21-2.el8.x86_64,"GPL+ or Artistic",@anaconda
perl-threads-shared,1.58-2.el8.x86_64,"GPL+ or Artistic",@anaconda
pigz,2.4-4.el8.x86_64,"zlib",@anaconda
pinentry,1.1.0-2.el8.x86_64,"GPLv2+",@appstream
pixman,0.38.4-2.el8.x86_64,"MIT",@appstream
pkgconf,1.4.2-1.el8.x86_64,"ISC",@anaconda
pkgconf-m4,1.4.2-1.el8.noarch,"GPLv2+ with exceptions",@anaconda
pkgconf-pkg-config,1.4.2-1.el8.x86_64,"ISC",@anaconda
platform-python,3.6.8-55.el8.x86_64,"Python",@baseos
platform-python-devel,3.6.8-55.el8.x86_64,"Python",@appstream
platform-python-pip,9.0.3-23.el8.noarch,"MIT and Python and ASL 2.0 and BSD and ISC and LGPLv2 and MPLv2.0 and (ASL 2.0 or BSD)",@baseos
platform-python-setuptools,39.2.0-7.el8.noarch,"MIT",@anaconda
plymouth,0.9.4-11.20200615git1e36e30.el8.x86_64,"GPLv2+",@appstream
plymouth-core-libs,0.9.4-11.20200615git1e36e30.el8.x86_64,"GPLv2+",@appstream
plymouth-scripts,0.9.4-11.20200615git1e36e30.el8.x86_64,"GPLv2+",@appstream
podman,4.6.1-4.module_el8+664+4072b3ae.x86_64,"Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0",@appstream
podman-catatonit,4.6.1-4.module_el8+664+4072b3ae.x86_64,"Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0",@appstream
podman-gvproxy,4.6.1-4.module_el8+664+4072b3ae.x86_64,"Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0",@appstream
podman-plugins,4.6.1-4.module_el8+664+4072b3ae.x86_64,"Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0",@appstream
policycoreutils,2.9-24.el8.x86_64,"GPLv2",@anaconda
policycoreutils-python-utils,2.9-24.el8.noarch,"GPLv2",@anaconda
polkit,0.115-15.el8.x86_64,"LGPLv2+",@anaconda
polkit-libs,0.115-15.el8.x86_64,"LGPLv2+",@anaconda
polkit-pkla-compat,0.1-12.el8.x86_64,"LGPLv2+",@anaconda
popt,1.18-1.el8.x86_64,"MIT",@anaconda
postgresql,13.7-2.module_el8.6.0+1152+d0162c0a.x86_64,"PostgreSQL",@appstream
postgresql-server,13.7-2.module_el8.6.0+1152+d0162c0a.x86_64,"PostgreSQL",@appstream
prefixdevname,0.1.0-6.el8.x86_64,"MIT",@anaconda
procps-ng,3.3.15-14.el8.x86_64,"GPL+ and GPLv2 and GPLv2+ and GPLv3+ and LGPLv2+",@baseos
protobuf-c,1.3.0-8.el8.x86_64,"BSD",@appstream
psacct,6.6.3-4.el8.x86_64,"GPLv3+",@anaconda
psmisc,23.1-5.el8.x86_64,"GPLv2+",@anaconda
publicsuffix-list-dafsa,20180723-1.el8.noarch,"MPLv2.0",@anaconda
python-rpm-macros,3-45.el8.noarch,"MIT",@baseos
python-srpm-macros,3-45.el8.noarch,"MIT",@baseos
python3-audit,3.0.7-5.el8.x86_64,"LGPLv2+",@baseos
python3-augeas,0.5.0-12.el8.noarch,"LGPLv2+",@appstream
python3-babel,2.5.1-7.el8.noarch,"BSD",@appstream
python3-bambou,3.1.1-1.el8.noarch,"BSD-3-Clause",@manageiq-16-petrosian-noarch
python3-beautifulsoup4,4.6.3-2.el8.1.noarch,"MIT",@epel
python3-bind,9.11.36-9.el8.noarch,"MPLv2.0",@appstream
python3-cairo,1.16.3-6.el8.x86_64,"MPLv1.1 or LGPLv2",@appstream
python3-cffi,1.11.5-6.el8.x86_64,"MIT",@baseos
python3-chardet,3.0.4-7.el8.noarch,"LGPLv2",@anaconda
python3-colorama,0.4.3-1.el8.noarch,"BSD",@epel
python3-configobj,5.0.6-11.el8.noarch,"BSD",@anaconda
python3-cryptography,3.2.1-6.el8.x86_64,"ASL 2.0 or BSD",@baseos
python3-cssselect,0.9.2-10.el8.noarch,"BSD",@epel
python3-dateutil,2.6.1-6.el8.noarch,"BSD",@anaconda
python3-dbus,1.2.4-15.el8.x86_64,"MIT",@anaconda
python3-decorator,4.2.1-2.el8.noarch,"BSD",@anaconda
python3-dnf,4.7.0-19.el8.noarch,"GPLv2+",@baseos
python3-dnf-plugins-core,4.0.21-23.el8.noarch,"GPLv2+",@baseos
python3-dns,1.15.0-11.el8.noarch,"MIT",@anaconda
python3-firewall,0.9.11-1.el8.noarch,"GPLv2+",@baseos
python3-future,0.18.3-4.el8.noarch,"MIT",@epel
python3-gobject,3.28.3-2.el8.x86_64,"LGPLv2+ and MIT",@appstream
python3-gobject-base,3.28.3-2.el8.x86_64,"LGPLv2+ and MIT",@anaconda
python3-gpg,1.13.1-11.el8.x86_64,"LGPLv2+ and GPLv3+",@anaconda
python3-gssapi,1.5.1-5.el8.x86_64,"ISC",@appstream
python3-hawkey,0.63.0-16.el8.x86_64,"LGPLv2+",@baseos
python3-html5lib,0.999999999-6.el8.noarch,"MIT",@appstream
python3-idna,2.5-5.el8.noarch,"BSD and Python and Unicode",@anaconda
python3-ipaclient,4.9.12-7.module_el8+656+9ecf9478.noarch,"GPLv3+",@appstream
python3-ipalib,4.9.12-7.module_el8+656+9ecf9478.noarch,"GPLv3+",@appstream
python3-jinja2,2.10.1-3.el8.noarch,"BSD",@appstream
python3-jmespath,0.9.0-11.el8.noarch,"MIT",@appstream
python3-jsonpatch,1.21-2.el8.noarch,"BSD",@appstream
python3-jsonpointer,1.10-11.el8.noarch,"BSD",@appstream
python3-jsonschema,2.6.0-4.el8.noarch,"MIT",@appstream
python3-jwcrypto,0.5.0-1.1.module_el8+420+fb751951.noarch,"LGPLv3+",@appstream
python3-jwt,1.6.1-2.el8.noarch,"MIT",@anaconda
python3-ldap,3.3.1-2.el8.x86_64,"Python",@appstream
python3-libcomps,0.1.18-1.el8.x86_64,"GPLv2+",@anaconda
python3-libdnf,0.63.0-16.el8.x86_64,"LGPLv2+",@baseos
python3-libipa_hbac,2.9.1-2.el8.x86_64,"LGPLv3+",@baseos
python3-libs,3.6.8-55.el8.x86_64,"Python",@baseos
python3-libselinux,2.9-8.el8.x86_64,"Public Domain",@anaconda
python3-libsemanage,2.9-9.el8.x86_64,"LGPLv2+",@anaconda
python3-libxml2,2.9.7-16.el8.x86_64,"MIT",@anaconda
python3-linux-procfs,0.7.1-1.el8.noarch,"GPLv2",@anaconda
python3-lxml,4.2.3-4.el8.x86_64,"BSD",@appstream
python3-magic,5.33-25.el8.noarch,"BSD",@baseos
python3-markupsafe,0.23-19.el8.x86_64,"BSD",@appstream
python3-netaddr,0.7.19-8.el8.noarch,"BSD",@appstream
python3-netifaces,0.10.6-4.el8.x86_64,"MIT",@appstream
python3-nftables,1.0.4-2.el8.x86_64,"GPLv2",@baseos
python3-oauthlib,2.1.0-1.el8.noarch,"BSD",@anaconda
python3-perf,4.18.0-513.el8.x86_64,"GPLv2 and Redistributable, no modification permitted",@baseos
python3-pexpect,4.3.1-3.el8.noarch,"MIT",@appstream
python3-pip,9.0.3-23.el8.noarch,"MIT and Python and ASL 2.0 and BSD and ISC and LGPLv2 and MPLv2.0 and (ASL 2.0 or BSD)",@appstream
python3-pip-wheel,9.0.3-23.el8.noarch,"MIT and Python and ASL 2.0 and BSD and ISC and LGPLv2 and MPLv2.0 and (ASL 2.0 or BSD)",@baseos
python3-ply,3.9-9.el8.noarch,"BSD",@anaconda
python3-policycoreutils,2.9-24.el8.noarch,"GPLv2",@anaconda
python3-prettytable,0.7.2-14.el8.noarch,"BSD",@appstream
python3-psutil,5.4.3-11.el8.x86_64,"BSD",@appstream
python3-ptyprocess,0.5.2-4.el8.noarch,"ISC",@appstream
python3-pyasn1,0.3.7-6.el8.noarch,"BSD",@appstream
python3-pyasn1-modules,0.3.7-6.el8.noarch,"BSD",@appstream
python3-pycparser,2.14-14.el8.noarch,"BSD",@anaconda
python3-pydbus,0.6.0-5.el8.noarch,"LGPLv2+",@appstream
python3-pylxca,2.1.1-2.el8.noarch,"Apache-2.0",@manageiq-16-petrosian-noarch
python3-pyserial,3.1.1-8.el8.noarch,"Python",@appstream
python3-pysocks,1.6.8-3.el8.noarch,"BSD",@anaconda
python3-pytz,2017.2-11.el8.noarch,"MIT",@appstream
python3-pyudev,0.21.0-7.el8.noarch,"LGPLv2+",@anaconda
python3-pyusb,1.0.0-9.1.module_el8+420+fb751951.noarch,"BSD",@appstream
python3-pyyaml,3.12-12.el8.x86_64,"MIT",@anaconda
python3-qrcode-core,5.1-12.module_el8+420+fb751951.noarch,"BSD",@appstream
python3-requests,2.20.0-4.el8.noarch,"ASL 2.0",@baseos
python3-requests-toolbelt,0.9.1-4.el8.noarch,"ASL 2.0",@epel
python3-rpm,4.14.3-26.el8.x86_64,"GPLv2+",@anaconda
python3-rpm-generators,5-8.el8.noarch,"GPLv2+",@appstream
python3-rpm-macros,3-45.el8.noarch,"MIT",@baseos
python3-setools,4.3.0-5.el8.x86_64,"GPLv2",@baseos
python3-setuptools,39.2.0-7.el8.noarch,"MIT",@anaconda
python3-setuptools-wheel,39.2.0-7.el8.noarch,"MIT",@anaconda
python3-six,1.11.0-8.el8.noarch,"MIT",@anaconda
python3-slip,0.6.4-13.el8.noarch,"GPLv2+",@anaconda
python3-slip-dbus,0.6.4-13.el8.noarch,"GPLv2+",@anaconda
python3-sss,2.9.1-2.el8.x86_64,"LGPLv3+",@baseos
python3-sss-murmur,2.9.1-2.el8.x86_64,"LGPLv3+",@baseos
python3-sssdconfig,2.9.1-2.el8.noarch,"GPLv3+",@baseos
python3-syspurpose,1.28.39-1.el8.x86_64,"GPLv2",@baseos
python3-systemd,234-8.el8.x86_64,"LGPLv2+",@anaconda
python3-tabulate,0.8.10-2.el8.noarch,"MIT",@epel
python3-tracer,0.7.5-2.el8.noarch,"GPLv2+",@appstream
python3-unbound,1.16.2-5.el8.x86_64,"BSD",@appstream
python3-unittest2,1.1.0-16.el8.noarch,"BSD",@manageiq-16-petrosian-noarch
python3-urllib3,1.24.2-5.el8.noarch,"MIT",@anaconda
python3-vspk,5.3.2-1.el8.noarch,"BSD-3-Clause",@manageiq-16-petrosian-noarch
python3-webencodings,0.5.1-6.el8.noarch,"BSD",@appstream
python3-yubico,1.3.2-9.1.module_el8+420+fb751951.noarch,"BSD",@appstream
python36,3.6.8-38.module_el8.5.0+895+a459eca8.x86_64,"Python",@appstream
python36-devel,3.6.8-38.module_el8.5.0+895+a459eca8.x86_64,"Python",@appstream
python38,3.8.17-2.module_el8+640+ebf3d03c.x86_64,"Python",@appstream
python38-asn1crypto,1.2.0-3.module_el8+617+b8038191.noarch,"MIT",@appstream
python38-babel,2.7.0-11.module_el8+617+b8038191.noarch,"BSD",@appstream
python38-cffi,1.13.2-3.module_el8+617+b8038191.x86_64,"MIT",@appstream
python38-cryptography,2.8-3.module_el8+617+b8038191.x86_64,"ASL 2.0 or BSD",@appstream
python38-idna,2.8-6.module_el8+617+b8038191.noarch,"BSD and Python and Unicode",@appstream
python38-jinja2,2.11.3-1.module_el8+617+b8038191.noarch,"BSD",@appstream
python38-libs,3.8.17-2.module_el8+640+ebf3d03c.x86_64,"Python",@appstream
python38-markupsafe,1.1.1-6.module_el8+615+cf6008ae.x86_64,"BSD",@appstream
python38-pip,19.3.1-7.module_el8+640+ebf3d03c.noarch,"MIT and Python and ASL 2.0 and BSD and ISC and LGPLv2 and MPLv2.0 and (ASL 2.0 or BSD)",@appstream
python38-pip-wheel,19.3.1-7.module_el8+640+ebf3d03c.noarch,"MIT and Python and ASL 2.0 and BSD and ISC and LGPLv2 and MPLv2.0 and (ASL 2.0 or BSD)",@appstream
python38-ply,3.11-10.module_el8+617+b8038191.noarch,"BSD",@appstream
python38-pycparser,2.19-3.module_el8+617+b8038191.noarch,"BSD",@appstream
python38-pytz,2019.3-4.module_el8+617+b8038191.noarch,"MIT",@appstream
python38-pyyaml,5.4.1-1.module_el8+617+b8038191.x86_64,"MIT",@appstream
python38-resolvelib,0.5.4-5.el8.noarch,"ISC",@appstream
python38-setuptools,41.6.0-5.module_el8+615+cf6008ae.noarch,"MIT and (BSD or ASL 2.0)",@appstream
python38-setuptools-wheel,41.6.0-5.module_el8+615+cf6008ae.noarch,"MIT and (BSD or ASL 2.0)",@appstream
python38-six,1.12.0-10.module_el8+615+cf6008ae.noarch,"MIT",@appstream
qemu-guest-agent,6.2.0-39.module_el8+669+76cc32af.x86_64,"GPLv2 and GPLv2+ and CC-BY",@appstream
qpid-proton-c,0.30.0-2.el8.x86_64,"ASL 2.0",@manageiq-16-petrosian
quota,4.04-14.el8.x86_64,"BSD and GPLv2 and GPLv2+",@anaconda
quota-nls,4.04-14.el8.noarch,"BSD and LGPLv2+ and GPLv2 and GPLv2+",@anaconda
readline,7.0-10.el8.x86_64,"GPLv3+",@anaconda
realmd,0.17.1-1.el8.x86_64,"LGPLv2+",@anaconda
repmgr13,5.2.1-2.el8.x86_64,"GPLv3+",@manageiq-16-petrosian
rootfiles,8.1-22.el8.noarch,"Public Domain",@anaconda
rpcbind,1.2.5-10.el8.x86_64,"BSD",@anaconda
rpm,4.14.3-26.el8.x86_64,"GPLv2+",@anaconda
rpm-build-libs,4.14.3-26.el8.x86_64,"GPLv2+ and LGPLv2+ with exceptions",@anaconda
rpm-libs,4.14.3-26.el8.x86_64,"GPLv2+ and LGPLv2+ with exceptions",@anaconda
rpm-plugin-selinux,4.14.3-26.el8.x86_64,"GPLv2+",@anaconda
rpm-plugin-systemd-inhibit,4.14.3-26.el8.x86_64,"GPLv2+",@anaconda
rsyslog,8.2102.0-15.el8.x86_64,"(GPLv3+ and ASL 2.0)",@appstream
rsyslog-gnutls,8.2102.0-15.el8.x86_64,"(GPLv3+ and ASL 2.0)",@appstream
rsyslog-gssapi,8.2102.0-15.el8.x86_64,"(GPLv3+ and ASL 2.0)",@appstream
